index,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,psi,in range
1503,Ok,2024-02-09 09:15:00,1707450300,21740.2,21742.75,21665.75,21682.65,0.00,0,0,0,0,,False
1502,Ok,2024-02-09 09:20:00,1707450600,21681.4,21762.3,21680.05,21756.6,0.00,0,0,0,0,,False
1501,Ok,2024-02-09 09:25:00,1707450900,21757.0,21778.7,21726.4,21769.75,0.00,0,0,0,0,,False
1500,Ok,2024-02-09 09:30:00,1707451200,21770.1,21772.6,21744.1,21760.65,0.00,0,0,0,0,,False
1499,Ok,2024-02-09 09:35:00,1707451500,21760.0,21780.0,21729.6,21734.6,0.00,0,0,0,0,,False
1498,Ok,2024-02-09 09:40:00,1707451800,21735.9,21751.6,21706.5,21744.15,0.00,0,0,0,0,,False
1497,Ok,2024-02-09 09:45:00,1707452100,21743.4,21749.5,21713.65,21713.65,0.00,0,0,0,0,,False
1496,Ok,2024-02-09 09:50:00,1707452400,21710.65,21722.7,21673.25,21677.0,0.00,0,0,0,0,,False
1495,Ok,2024-02-09 09:55:00,1707452700,21676.15,21694.25,21671.7,21680.15,0.00,0,0,0,0,,False
1494,Ok,2024-02-09 10:00:00,1707453000,21678.25,21708.4,21649.05,21708.4,0.00,0,0,0,0,,False
1493,Ok,2024-02-09 10:05:00,1707453300,21708.7,21741.05,21703.25,21741.05,0.00,0,0,0,0,,False
1492,Ok,2024-02-09 10:10:00,1707453600,21740.8,21750.45,21728.4,21749.65,0.00,0,0,0,0,,False
1491,Ok,2024-02-09 10:15:00,1707453900,21750.7,21750.7,21719.25,21736.0,0.00,0,0,0,0,,False
1490,Ok,2024-02-09 10:20:00,1707454200,21738.15,21746.15,21726.4,21727.05,0.00,0,0,0,0,,False
1489,Ok,2024-02-09 10:25:00,1707454500,21726.5,21726.5,21694.8,21699.65,0.00,0,0,0,0,,False
1488,Ok,2024-02-09 10:30:00,1707454800,21699.1,21715.3,21682.75,21708.7,0.00,0,0,0,0,,False
1487,Ok,2024-02-09 10:35:00,1707455100,21709.55,21711.35,21686.6,21699.0,0.00,0,0,0,0,,False
1486,Ok,2024-02-09 10:40:00,1707455400,21698.95,21707.35,21689.85,21691.1,0.00,0,0,0,0,,False
1485,Ok,2024-02-09 10:45:00,1707455700,21691.2,21698.25,21680.3,21696.85,0.00,0,0,0,0,,False
1484,Ok,2024-02-09 10:50:00,1707456000,21696.0,21696.0,21674.95,21682.1,0.00,0,0,0,0,,False
1483,Ok,2024-02-09 10:55:00,1707456300,21682.85,21682.85,21660.35,21673.5,0.00,0,0,0,0,75.86584865235423,False
1482,Ok,2024-02-09 11:00:00,1707456600,21673.75,21679.35,21641.4,21641.4,0.00,0,0,0,0,57.908549464116135,False
1481,Ok,2024-02-09 11:05:00,1707456900,21639.45,21656.1,21631.35,21655.5,0.00,0,0,0,0,44.373439734540064,False
1480,Ok,2024-02-09 11:10:00,1707457200,21655.95,21687.65,21650.1,21679.5,0.00,0,0,0,0,36.210428232213026,False
1479,Ok,2024-02-09 11:15:00,1707457500,21680.3,21689.0,21664.65,21674.55,0.00,0,0,0,0,31.047597101467982,False
1478,Ok,2024-02-09 11:20:00,1707457800,21674.4,21674.4,21652.7,21653.45,0.00,0,0,0,0,27.988500721051775,False
1477,Ok,2024-02-09 11:25:00,1707458100,21654.85,21673.6,21644.75,21673.6,0.00,0,0,0,0,26.641656658503603,False
1476,Ok,2024-02-09 11:30:00,1707458400,21673.05,21682.65,21665.05,21682.6,0.00,0,0,0,0,22.288375263702548,False
1475,Ok,2024-02-09 11:35:00,1707458700,21684.45,21707.1,21678.95,21704.55,0.00,0,0,0,0,19.387512067190567,False
1474,Ok,2024-02-09 11:40:00,1707459000,21705.55,21732.6,21704.05,21722.15,0.00,0,0,0,0,17.855486000679626,False
1473,Ok,2024-02-09 11:45:00,1707459300,21723.55,21731.8,21711.8,21731.75,0.00,0,0,0,0,17.650063418878624,False
1472,Ok,2024-02-09 11:50:00,1707459600,21732.5,21732.5,21707.25,21720.2,0.00,0,0,0,0,18.765678694371037,False
1471,Ok,2024-02-09 11:55:00,1707459900,21717.9,21727.55,21714.4,21725.35,0.00,0,0,0,0,21.232833500669713,False
1470,Ok,2024-02-09 12:00:00,1707460200,21725.55,21736.95,21719.85,21729.8,0.00,0,0,0,0,25.12143454586287,False
1469,Ok,2024-02-09 12:05:00,1707460500,21729.45,21750.0,21723.7,21744.3,0.00,0,0,0,0,28.438728108236617,False
1468,Ok,2024-02-09 12:10:00,1707460800,21744.95,21750.05,21726.75,21733.2,0.00,0,0,0,0,33.522451569658806,False
1467,Ok,2024-02-09 12:15:00,1707461100,21734.2,21748.4,21725.3,21746.35,0.00,0,0,0,0,39.881422505994394,False
1466,Ok,2024-02-09 12:20:00,1707461400,21746.75,21752.2,21736.35,21746.8,0.00,0,0,0,0,48.94595832009017,False
1465,Ok,2024-02-09 12:25:00,1707461700,21747.1,21749.4,21739.15,21748.4,0.00,0,0,0,0,61.85934114412662,False
1464,Ok,2024-02-09 12:30:00,1707462000,21748.75,21766.5,21731.4,21752.0,0.00,0,0,0,0,79.64953666602977,False
1463,Ok,2024-02-09 12:35:00,1707462300,21752.4,21755.7,21736.0,21754.1,0.00,0,0,0,0,95.2562261529477,False
1462,Ok,2024-02-09 12:40:00,1707462600,21753.15,21762.35,21747.7,21759.85,0.00,0,0,0,0,91.15780613175616,False
1461,Ok,2024-02-09 12:45:00,1707462900,21760.25,21768.55,21755.95,21757.65,0.00,0,0,0,0,87.40845491124695,False
1460,Ok,2024-02-09 12:50:00,1707463200,21757.3,21760.1,21739.1,21743.45,0.00,0,0,0,0,84.13925469513225,False
1459,Ok,2024-02-09 12:55:00,1707463500,21742.85,21754.9,21726.15,21751.5,0.00,0,0,0,0,81.51609501225435,False
1458,Ok,2024-02-09 13:00:00,1707463800,21752.1,21755.3,21744.05,21750.1,0.00,0,0,0,0,79.69967673281371,False
1457,Ok,2024-02-09 13:05:00,1707464100,21749.05,21752.2,21731.4,21737.15,0.00,0,0,0,0,78.74198293927111,False
1456,Ok,2024-02-09 13:10:00,1707464400,21737.25,21755.0,21734.65,21753.3,0.00,0,0,0,0,78.53287189201194,False
1455,Ok,2024-02-09 13:15:00,1707464700,21753.0,21754.55,21731.95,21733.5,0.00,0,0,0,0,79.00917281888498,False
1454,Ok,2024-02-09 13:20:00,1707465000,21733.95,21745.35,21725.75,21735.25,0.00,0,0,0,0,80.2874252242131,False
1453,Ok,2024-02-09 13:25:00,1707465300,21736.5,21746.95,21730.05,21744.35,0.00,0,0,0,0,82.42512374861914,False
1452,Ok,2024-02-09 13:30:00,1707465600,21745.0,21746.85,21717.3,21728.45,0.00,0,0,0,0,85.31448677964994,False
1451,Ok,2024-02-09 13:35:00,1707465900,21727.35,21731.85,21712.45,21720.15,0.00,0,0,0,0,88.78401726012507,False
