TSI_13_25_13,TSIs_13_25_13
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
16.23609350850555,
17.382847877450345,
18.56566549083663,
19.70127577517954,
21.02489800747204,
21.95171450478649,
21.325632990700576,
21.331664330859173,
21.1875942244228,
19.64564776031212,
19.561255850660242,
17.285759446946617,
15.575249380611785,19.290407626826457
14.916866543808519,18.66561604353818
12.608588949527412,17.8003264586795
9.832558986956071,16.66207396271901
9.241436746959113,15.601982931896167
8.563288830303735,14.596455203097248
8.316672386088763,13.699343372096036
8.307414489592121,12.92906781745262
9.159818998757236,12.390603700496136
9.524032934748904,11.981093591103674
11.086838219528433,11.853342823735783
14.054859178122387,12.167845160076727
14.979368385084284,12.569491335077807
15.96040174992992,13.053907108628108
17.561303162204467,13.697820830567588
19.41581994982841,14.51467784760485
18.363979355301165,15.064578062990037
18.60869505565045,15.570880490512954
18.291428368879966,15.959530187422526
16.6261779107779,16.054765576473294
17.055737632798703,16.19776158451978
18.155274339563718,16.477406263811773
18.15876783826387,16.717600774447785
17.507558729566828,16.830451910893363
17.261323058486855,16.892004931978146
18.947850036776696,17.18569708980651
22.300854997103297,17.916433933706053
18.669166304805323,18.023967129577375
18.109903212137457,18.036243712800243
17.542564844353365,17.965718160164975
15.336132690332695,17.59006309304608
9.654949428958698,16.456475426747883
4.544426376096089,14.754754133797626
1.2497041298180926,12.825461276086264
-2.790548213488819,10.594602777575538
-6.119940448502526,8.206810888135815
-11.367015354496964,5.410549996331133
-14.883432858878313,2.511409588444069
-16.526347631288356,-0.20827001437484896
-20.758039678751857,-3.143951395000135
-23.385173118423538,-6.035554498346335
-25.169085604160532,-8.76891608489122
-25.540548419457426,-11.164863561257821
-25.569982851876677,-13.222737745631944
-26.17716784769411,-15.073370617355112
-25.565618008074225,-16.572263101743555
-23.713749125676333,-17.59247539087681
-23.11522133207978,-18.38143909676295
-19.780960719974466,-18.581370757221737
-16.327789130143653,-18.25943052478201
-14.150496890518342,-17.672440005601487
-11.43414725639531,-16.781255327143462
-9.204115571334784,-15.698806790599365
-8.092237865743142,-14.612154087048475
-7.808456855400367,-13.640197339670173
-8.140349440188263,-12.85450478260133
-9.125324057029633,-12.321764678948231
-10.08421245867703,-12.002114361766631
-10.657699651696168,-11.810055117470851
-14.055978630099814,-12.130901333560702
-18.569688417167363,-13.050728059790226
-20.839602781529624,-14.16342444861014
-19.29666609670287,-14.896744684051958
-18.344244348312014,-15.389244636089108
-17.935540850601246,-15.753001238162271
-17.71518189220803,-16.03331276016881
-16.494009756359507,-16.099126616767478
-15.86481865933174,-16.065654051419514
-17.028551290513015,-16.20321079986144
-17.516706968039163,-16.390853109601117
-19.2544393524147,-16.799936858574487
-22.954717253251573,-17.679191200671212
-24.23532662288057,-18.61578197527255
-24.698163473302202,-19.484693617848215
-25.68840695753444,-20.370938380660533
-26.867262079473647,-21.298984623348122
-25.599490212625973,-21.91334256467353
-21.90221283036621,-21.91175260262963
-19.17032670471092,-21.520120331498386
-17.851442370496475,-20.996023479926684
-15.092647209195476,-20.15268401267937
-15.697796467215179,-19.516271506184484
