open_time,ImpulseMACD,ImpulseHisto,ImpulseMACDCDSignal
2024-02-09 09:15:00,0.0,,
2024-02-09 09:20:00,0.0,,
2024-02-09 09:25:00,0.0,,
2024-02-09 09:30:00,0.0,,
2024-02-09 09:35:00,0.0,,
2024-02-09 09:40:00,0.0,,
2024-02-09 09:45:00,0.0,,
2024-02-09 09:50:00,0.0,,
2024-02-09 09:55:00,0.0,0.0,0.0
2024-02-09 10:00:00,0.0,0.0,0.0
2024-02-09 10:05:00,0.0,0.0,0.0
2024-02-09 10:10:00,0.0,0.0,0.0
2024-02-09 10:15:00,0.0,0.0,0.0
2024-02-09 10:20:00,0.0,0.0,0.0
2024-02-09 10:25:00,0.0,0.0,0.0
2024-02-09 10:30:00,0.0,0.0,0.0
2024-02-09 10:35:00,0.0,0.0,0.0
2024-02-09 10:40:00,0.0,0.0,0.0
2024-02-09 10:45:00,0.0,0.0,0.0
2024-02-09 10:50:00,0.0,0.0,0.0
2024-02-09 10:55:00,0.0,0.0,0.0
2024-02-09 11:00:00,0.0,0.0,0.0
2024-02-09 11:05:00,0.0,0.0,0.0
2024-02-09 11:10:00,0.0,0.0,0.0
2024-02-09 11:15:00,0.0,0.0,0.0
2024-02-09 11:20:00,0.0,0.0,0.0
2024-02-09 11:25:00,0.0,0.0,0.0
2024-02-09 11:30:00,0.0,0.0,0.0
2024-02-09 11:35:00,0.0,0.0,0.0
2024-02-09 11:40:00,0.0,0.0,0.0
2024-02-09 11:45:00,0.0,0.0,0.0
2024-02-09 11:50:00,0.0,0.0,0.0
2024-02-09 11:55:00,0.0,0.0,0.0
2024-02-09 12:00:00,0.0,0.0,0.0
2024-02-09 12:05:00,0.0,0.0,0.0
2024-02-09 12:10:00,0.0,0.0,0.0
2024-02-09 12:15:00,0.0,0.0,0.0
2024-02-09 12:20:00,0.0,0.0,0.0
2024-02-09 12:25:00,0.0,0.0,0.0
2024-02-09 12:30:00,0.0,0.0,0.0
2024-02-09 12:35:00,0.0,0.0,0.0
2024-02-09 12:40:00,0.0,0.0,0.0
2024-02-09 12:45:00,0.0,0.0,0.0
2024-02-09 12:50:00,0.0,0.0,0.0
2024-02-09 12:55:00,0.0,0.0,0.0
2024-02-09 13:00:00,0.0,0.0,0.0
2024-02-09 13:05:00,0.0,0.0,0.0
2024-02-09 13:10:00,0.0,0.0,0.0
2024-02-09 13:15:00,0.0,0.0,0.0
2024-02-09 13:20:00,0.0,0.0,0.0
2024-02-09 13:25:00,0.0,0.0,0.0
2024-02-09 13:30:00,0.0,0.0,0.0
2024-02-09 13:35:00,0.0,0.0,0.0
2024-02-09 13:40:00,0.0,0.0,0.0
2024-02-09 13:45:00,0.0,0.0,0.0
2024-02-09 13:50:00,0.0,0.0,0.0
2024-02-09 13:55:00,0.0,0.0,0.0
2024-02-09 14:00:00,0.0,0.0,0.0
2024-02-09 14:05:00,0.0,0.0,0.0
2024-02-09 14:10:00,0.0,0.0,0.0
2024-02-09 14:15:00,0.0,0.0,0.0
2024-02-09 14:20:00,0.0,0.0,0.0
2024-02-09 14:25:00,0.0,0.0,0.0
2024-02-09 14:30:00,0.0,0.0,0.0
2024-02-09 14:35:00,0.0,0.0,0.0
2024-02-09 14:40:00,0.0,0.0,0.0
2024-02-09 14:45:00,20.879732039866212,18.55976181321441,2.3199702266518014
2024-02-09 14:50:00,21.4763620661397,16.7701293876946,4.706232678445101
2024-02-09 14:55:00,21.290587971379864,14.218734407225888,7.071853564153975
2024-02-09 15:00:00,21.912590224146697,12.406004412865311,9.506585811281386
2024-02-09 15:05:00,23.310293036418443,11.213674665535008,12.096618370883435
2024-02-09 15:10:00,24.505224151555012,9.685803097165465,14.819421054389547
2024-02-09 15:15:00,25.106060774924117,7.497077412209666,17.60898336271445
2024-02-09 15:20:00,25.454677177196572,5.01739635034917,20.437280826847402
2024-02-09 15:25:00,26.597662063097232,3.2050854514612475,23.392576611635985
