index,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,TR,ATR_17,ST17_3.0,STX17_3.0
1503,Ok,2024-02-09 09:15:00,1707450300,21740.2,21742.75,21665.75,21682.65,0.00,0,0,0,0,77.0,0.0,0.0,nan
1502,Ok,2024-02-09 09:20:00,1707450600,21681.4,21762.3,21680.05,21756.6,0.00,0,0,0,0,82.25,0.0,0.0,nan
1501,Ok,2024-02-09 09:25:00,1707450900,21757.0,21778.7,21726.4,21769.75,0.00,0,0,0,0,52.29999999999927,0.0,0.0,nan
1500,Ok,2024-02-09 09:30:00,1707451200,21770.1,21772.6,21744.1,21760.65,0.00,0,0,0,0,28.5,0.0,0.0,nan
1499,Ok,2024-02-09 09:35:00,1707451500,21760.0,21780.0,21729.6,21734.6,0.00,0,0,0,0,50.400000000001455,0.0,0.0,nan
1498,Ok,2024-02-09 09:40:00,1707451800,21735.9,21751.6,21706.5,21744.15,0.00,0,0,0,0,45.099999999998545,0.0,0.0,nan
1497,Ok,2024-02-09 09:45:00,1707452100,21743.4,21749.5,21713.65,21713.65,0.00,0,0,0,0,35.849999999998545,0.0,0.0,nan
1496,Ok,2024-02-09 09:50:00,1707452400,21710.65,21722.7,21673.25,21677.0,0.00,0,0,0,0,49.45000000000073,0.0,0.0,nan
1495,Ok,2024-02-09 09:55:00,1707452700,21676.15,21694.25,21671.7,21680.15,0.00,0,0,0,0,22.549999999999272,0.0,0.0,nan
1494,Ok,2024-02-09 10:00:00,1707453000,21678.25,21708.4,21649.05,21708.4,0.00,0,0,0,0,59.35000000000218,0.0,0.0,nan
1493,Ok,2024-02-09 10:05:00,1707453300,21708.7,21741.05,21703.25,21741.05,0.00,0,0,0,0,37.79999999999927,0.0,0.0,nan
1492,Ok,2024-02-09 10:10:00,1707453600,21740.8,21750.45,21728.4,21749.65,0.00,0,0,0,0,22.049999999999272,0.0,0.0,nan
1491,Ok,2024-02-09 10:15:00,1707453900,21750.7,21750.7,21719.25,21736.0,0.00,0,0,0,0,31.450000000000728,0.0,0.0,nan
1490,Ok,2024-02-09 10:20:00,1707454200,21738.15,21746.15,21726.4,21727.05,0.00,0,0,0,0,19.75,0.0,0.0,nan
1489,Ok,2024-02-09 10:25:00,1707454500,21726.5,21726.5,21694.8,21699.65,0.00,0,0,0,0,32.25,0.0,0.0,nan
1488,Ok,2024-02-09 10:30:00,1707454800,21699.1,21715.3,21682.75,21708.7,0.00,0,0,0,0,32.54999999999927,0.0,0.0,nan
1487,Ok,2024-02-09 10:35:00,1707455100,21709.55,21711.35,21686.6,21699.0,0.00,0,0,0,0,24.75,41.37352941176462,0.0,nan
1486,Ok,2024-02-09 10:40:00,1707455400,21698.95,21707.35,21689.85,21691.1,0.00,0,0,0,0,17.5,39.969204152249056,21818.507612456746,down
1485,Ok,2024-02-09 10:45:00,1707455700,21691.2,21698.25,21680.3,21696.85,0.00,0,0,0,0,17.950000000000728,38.673956849175624,21805.29687054753,down
1484,Ok,2024-02-09 10:50:00,1707456000,21696.0,21696.0,21674.95,21682.1,0.00,0,0,0,0,21.899999999997817,37.68725350510634,21798.53676051532,down
1483,Ok,2024-02-09 10:55:00,1707456300,21682.85,21682.85,21660.35,21673.5,0.00,0,0,0,0,22.5,36.79388565186479,21781.98165695559,down
1482,Ok,2024-02-09 11:00:00,1707456600,21673.75,21679.35,21641.4,21641.4,0.00,0,0,0,0,37.94999999999709,36.86189237822552,21770.960677134677,down
1481,Ok,2024-02-09 11:05:00,1707456900,21639.45,21656.1,21631.35,21655.5,0.00,0,0,0,0,24.75,36.14942812068284,21752.17328436205,down
1480,Ok,2024-02-09 11:10:00,1707457200,21655.95,21687.65,21650.1,21679.5,0.00,0,0,0,0,37.55000000000291,36.23181470181932,21752.17328436205,down
1479,Ok,2024-02-09 11:15:00,1707457500,21680.3,21689.0,21664.65,21674.55,0.00,0,0,0,0,24.349999999998545,35.53288442524162,21752.17328436205,down
1478,Ok,2024-02-09 11:20:00,1707457800,21674.4,21674.4,21652.7,21653.45,0.00,0,0,0,0,21.849999999998545,34.72800887081555,21752.17328436205,down
1477,Ok,2024-02-09 11:25:00,1707458100,21654.85,21673.6,21644.75,21673.6,0.00,0,0,0,0,28.849999999998545,34.38224364312043,21752.17328436205,down
1476,Ok,2024-02-09 11:30:00,1707458400,21673.05,21682.65,21665.05,21682.6,0.00,0,0,0,0,17.600000000002183,33.395052840584064,21752.17328436205,down
1475,Ok,2024-02-09 11:35:00,1707458700,21684.45,21707.1,21678.95,21704.55,0.00,0,0,0,0,28.149999999997817,33.086520320549575,21752.17328436205,down
1474,Ok,2024-02-09 11:40:00,1707459000,21705.55,21732.6,21704.05,21722.15,0.00,0,0,0,0,28.549999999999272,32.81966618404661,21752.17328436205,down
1473,Ok,2024-02-09 11:45:00,1707459300,21723.55,21731.8,21711.8,21731.75,0.00,0,0,0,0,20.0,32.06556817322034,21752.17328436205,down
1472,Ok,2024-02-09 11:50:00,1707459600,21732.5,21732.5,21707.25,21720.2,0.00,0,0,0,0,25.25,31.664652398325025,21752.17328436205,down
1471,Ok,2024-02-09 11:55:00,1707459900,21717.9,21727.55,21714.4,21725.35,0.00,0,0,0,0,13.149999999997817,30.575555198423423,21752.17328436205,down
1470,Ok,2024-02-09 12:00:00,1707460200,21725.55,21736.95,21719.85,21729.8,0.00,0,0,0,0,17.100000000002183,29.782875480869233,21752.17328436205,down
1469,Ok,2024-02-09 12:05:00,1707460500,21729.45,21750.0,21723.7,21744.3,0.00,0,0,0,0,26.299999999999272,29.578000452582764,21752.17328436205,down
1468,Ok,2024-02-09 12:10:00,1707460800,21744.95,21750.05,21726.75,21733.2,0.00,0,0,0,0,23.299999999999272,29.208706308313147,21752.17328436205,down
1467,Ok,2024-02-09 12:15:00,1707461100,21734.2,21748.4,21725.3,21746.35,0.00,0,0,0,0,23.100000000002183,28.849370643118384,21752.17328436205,down
1466,Ok,2024-02-09 12:20:00,1707461400,21746.75,21752.2,21736.35,21746.8,0.00,0,0,0,0,15.850000000002183,28.084701781758607,21752.17328436205,down
1465,Ok,2024-02-09 12:25:00,1707461700,21747.1,21749.4,21739.15,21748.4,0.00,0,0,0,0,10.25,27.035601676949277,21752.17328436205,down
1464,Ok,2024-02-09 12:30:00,1707462000,21748.75,21766.5,21731.4,21752.0,0.00,0,0,0,0,35.099999999998545,27.509978048893352,21752.17328436205,down
1463,Ok,2024-02-09 12:35:00,1707462300,21752.4,21755.7,21736.0,21754.1,0.00,0,0,0,0,19.700000000000728,27.05056757542908,21666.42006585332,up
1462,Ok,2024-02-09 12:40:00,1707462600,21753.15,21762.35,21747.7,21759.85,0.00,0,0,0,0,14.649999999997817,26.321122423933122,21676.0616327282,up
1461,Ok,2024-02-09 12:45:00,1707462900,21760.25,21768.55,21755.95,21757.65,0.00,0,0,0,0,12.599999999998545,25.513997575466384,21685.708007273603,up
1460,Ok,2024-02-09 12:50:00,1707463200,21757.3,21760.1,21739.1,21743.45,0.00,0,0,0,0,21.0,25.2484683063213,21685.708007273603,up
1459,Ok,2024-02-09 12:55:00,1707463500,21742.85,21754.9,21726.15,21751.5,0.00,0,0,0,0,28.75,25.454440758890634,21685.708007273603,up
1458,Ok,2024-02-09 13:00:00,1707463800,21752.1,21755.3,21744.05,21750.1,0.00,0,0,0,0,11.25,24.618885420132358,21685.708007273603,up
1457,Ok,2024-02-09 13:05:00,1707464100,21749.05,21752.2,21731.4,21737.15,0.00,0,0,0,0,20.799999999999272,24.394245101301,21685.708007273603,up
