,entry_time,entry_price,exit_time,exit_price,profit,100
0,16/01/24 9:40,22056.4,16/01/24 9:45,22092.4,-36,82
1,09/02/24 11:50,21731.8,09/02/24 12:25,21748.4,16.6,88.806
2,12/02/24 9:50,21729.95,12/02/24 10:30,21664.5,65.45,117.8677635
3,13/02/24 10:00,21679.05,13/02/24 10:25,21712.15,33.1,137.3748784
4,19/02/24 15:05,22124.1,19/02/24 15:15,22129.45,-5.35,133.7001004
5,27/02/24 10:00,22140.45,27/02/24 10:05,22127.55,-12.9,125.0764439
6,27/02/24 10:10,22109.45,27/02/24 10:40,22135.05,-25.6,109.0666591
7,28/02/24 10:50,22175.4,28/02/24 11:10,22071,104.4,165.9994551
8,04/03/24 10:05,22400.2,04/03/24 10:45,22412.25,12.05,176.0009223
9,13/03/24 9:35,22323.55,13/03/24 10:10,22306.45,17.1,191.0490011
10,27/03/24 9:25,22071.95,27/03/24 9:55,22133.25,61.3,249.60552
11,28/03/24 15:05,22352.75,28/03/24 15:20,22309.35,43.4,303.7699178
12,01/04/24 9:35,22519,01/04/24 9:40,22497.75,-21.25,271.494364
13,24/04/24 9:30,22418.8,24/04/24 10:20,22449.85,31.05,313.6438641
14,25/04/24 10:15,22458.4,25/04/24 10:25,22441.25,-17.15,286.7489027
15,30/04/24 14:55,22689.8,02/05/24 9:15,22649.05,40.75,345.1739917
16,15/05/24 10:15,22168.9,15/05/24 10:45,22177.35,-8.45,330.5903905
