,stoploss,squee,lookback,ema_length,conv,length,lengthMA,lengthSignal,fast,slow,signal,net_profit
0,10,6,14,16,50,24,30,11,13,30,10,218.20000000000437
1,10,6,14,16,50,24,30,11,13,30,13,241.45000000000437
2,10,6,14,16,50,24,30,11,13,30,16,241.45000000000437
3,10,6,14,16,50,24,30,11,16,20,10,236.55000000000655
4,10,6,14,16,50,24,30,11,16,20,13,241.45000000000437
5,10,6,14,16,50,24,30,11,16,20,16,241.45000000000437
6,10,6,14,16,50,24,30,11,16,25,10,236.55000000000655
7,10,6,14,16,50,24,30,11,16,25,13,241.45000000000437
8,10,6,14,16,50,24,30,11,16,25,16,241.45000000000437
9,10,6,14,16,50,24,30,11,16,30,10,241.45000000000437
10,10,6,14,16,50,24,30,11,16,30,13,241.45000000000437
11,10,6,14,16,50,24,30,11,16,30,16,241.45000000000437
12,10,6,14,16,50,24,34,7,10,20,10,60.950000000004366
13,10,6,14,16,50,24,34,7,10,20,13,50.950000000008004
14,10,6,14,16,50,24,34,7,10,20,16,50.950000000008004
15,10,6,14,16,50,24,34,7,10,25,10,-13.299999999991996
16,10,6,14,16,50,24,34,7,10,25,13,50.950000000008004
17,10,6,14,16,50,24,34,7,10,25,16,68.65000000000873
18,10,6,14,16,50,24,34,7,10,30,10,50.950000000008004
19,10,6,14,16,50,24,34,7,10,30,13,50.950000000008004
20,10,6,14,16,50,24,34,7,10,30,16,68.65000000000873
21,10,6,14,16,50,24,34,7,13,20,10,50.950000000008004
22,10,6,14,16,50,24,34,7,13,20,13,50.950000000008004
23,10,6,14,16,50,24,34,7,13,20,16,68.65000000000873
24,10,6,14,16,50,24,34,7,13,25,10,50.950000000008004
25,10,6,14,16,50,24,34,7,13,25,13,68.65000000000873
26,10,6,14,16,50,24,34,7,13,25,16,96.60000000000582
27,10,6,14,16,50,24,34,7,13,30,10,50.950000000008004
28,10,6,14,16,50,24,34,7,13,30,13,68.65000000000873
29,10,6,14,16,50,24,34,7,13,30,16,96.60000000000582
30,10,6,14,16,50,24,34,7,16,20,10,50.950000000008004
31,10,6,14,16,50,24,34,7,16,20,13,68.65000000000873
32,10,6,14,16,50,24,34,7,16,20,16,96.60000000000582
33,10,6,14,16,50,24,34,7,16,25,10,68.65000000000873
34,10,6,14,16,50,24,34,7,16,25,13,96.60000000000582
35,10,6,14,16,50,24,34,7,16,25,16,96.60000000000582
36,10,6,14,16,50,24,34,7,16,30,10,68.65000000000873
37,10,6,14,16,50,24,34,7,16,30,13,96.60000000000582
38,10,6,14,16,50,24,34,7,16,30,16,78.9000000000051
39,10,6,14,16,50,24,34,9,10,20,10,186.59999999999854
40,10,6,14,16,50,24,34,9,10,20,13,189.20000000000437
41,10,6,14,16,50,24,34,9,10,20,16,189.20000000000437
42,10,6,14,16,50,24,34,9,10,25,10,112.35000000000218
43,10,6,14,16,50,24,34,9,10,25,13,189.20000000000437
44,10,6,14,16,50,24,34,9,10,25,16,194.3000000000029
45,10,6,14,16,50,24,34,9,10,30,10,176.60000000000218
46,10,6,14,16,50,24,34,9,10,30,13,189.20000000000437
47,10,6,14,16,50,24,34,9,10,30,16,194.3000000000029
48,10,6,14,16,50,24,34,9,13,20,10,176.60000000000218
49,10,6,14,16,50,24,34,9,13,20,13,189.20000000000437
50,10,6,14,16,50,24,34,9,13,20,16,194.3000000000029
51,10,6,14,16,50,24,34,9,13,25,10,189.20000000000437
52,10,6,14,16,50,24,34,9,13,25,13,194.3000000000029
