,stoploss,squee,lookback,ema_length,conv,length,lengthMA,lengthSignal,fast,slow,signal,net_profit
85,10,2,16,24,56,16,30,7,10,30,10,-27.000000000003638
86,10,2,16,24,56,16,30,7,10,30,13,-27.000000000003638
87,10,2,16,24,56,16,30,7,10,30,16,-27.000000000003638
88,10,2,16,24,56,16,30,7,13,20,10,-27.000000000003638
89,10,2,16,24,56,16,30,7,13,20,13,-27.000000000003638
90,10,2,16,24,56,16,30,7,13,20,16,-27.000000000003638
91,10,2,16,24,56,16,30,7,13,25,10,-27.000000000003638
92,10,2,16,24,56,16,30,7,13,25,13,-27.000000000003638
93,10,2,16,24,56,16,30,7,13,25,16,-27.000000000003638
94,10,2,16,24,56,16,30,7,13,30,10,-27.000000000003638
95,10,2,16,24,56,16,30,7,13,30,13,-27.000000000003638
96,10,2,16,24,56,16,30,7,13,30,16,-27.000000000003638
97,10,2,16,24,56,16,30,7,16,20,10,-27.000000000003638
98,10,2,16,24,56,16,30,7,16,20,13,-27.000000000003638
99,10,2,16,24,56,16,30,7,16,20,16,-27.000000000003638
100,10,2,16,24,56,16,30,7,16,25,10,-27.000000000003638
101,10,2,16,24,56,16,30,7,16,25,13,-27.000000000003638
102,10,2,16,24,56,16,30,7,16,25,16,-27.000000000003638
103,10,2,16,24,56,16,30,7,16,30,10,-27.000000000003638
104,10,2,16,24,56,16,30,7,16,30,13,-27.000000000003638
105,10,2,16,24,56,16,30,7,16,30,16,-27.000000000003638
106,10,2,16,24,56,16,30,9,10,20,10,26.349999999994907
107,10,2,16,24,56,16,30,9,10,20,13,47.59999999999491
108,10,2,16,24,56,16,30,9,10,20,16,47.59999999999491
109,10,2,16,24,56,16,30,9,10,25,10,26.349999999994907
110,10,2,16,24,56,16,30,9,10,25,13,47.59999999999491
111,10,2,16,24,56,16,30,9,10,25,16,-27.000000000003638
112,10,2,16,24,56,16,30,9,10,30,10,26.349999999994907
113,10,2,16,24,56,16,30,9,10,30,13,-27.000000000003638
114,10,2,16,24,56,16,30,9,10,30,16,-27.000000000003638
115,10,2,16,24,56,16,30,9,13,20,10,26.349999999994907
116,10,2,16,24,56,16,30,9,13,20,13,47.59999999999491
117,10,2,16,24,56,16,30,9,13,20,16,-27.000000000003638
118,10,2,16,24,56,16,30,9,13,25,10,47.59999999999491
119,10,2,16,24,56,16,30,9,13,25,13,-27.000000000003638
120,10,2,16,24,56,16,30,9,13,25,16,-27.000000000003638
121,10,2,16,24,56,16,30,9,13,30,10,47.59999999999491
122,10,2,16,24,56,16,30,9,13,30,13,-27.000000000003638
123,10,2,16,24,56,16,30,9,13,30,16,-27.000000000003638
124,10,2,16,24,56,16,30,9,16,20,10,47.59999999999491
125,10,2,16,24,56,16,30,9,16,20,13,-27.000000000003638
126,10,2,16,24,56,16,30,9,16,20,16,-27.000000000003638
127,10,2,16,24,56,16,30,9,16,25,10,-27.000000000003638
128,10,2,16,24,56,16,30,9,16,25,13,-27.000000000003638
129,10,2,16,24,56,16,30,9,16,25,16,-27.000000000003638
130,10,2,16,24,56,16,30,9,16,30,10,-27.000000000003638
131,10,2,16,24,56,16,30,9,16,30,13,-27.000000000003638
132,10,2,16,24,56,16,30,9,16,30,16,-27.000000000003638
133,10,2,16,24,56,16,30,11,10,20,10,26.349999999994907
134,10,2,16,24,56,16,30,11,10,20,13,47.59999999999491
135,10,2,16,24,56,16,30,11,10,20,16,47.59999999999491
136,10,2,16,24,56,16,30,11,10,25,10,26.349999999994907
137,10,2,16,24,56,16,30,11,10,25,13,47.59999999999491
138,10,2,16,24,56,16,30,11,10,25,16,-27.000000000003638
139,10,2,16,24,56,16,30,11,10,30,10,26.349999999994907
140,10,2,16,24,56,16,30,11,10,30,13,-27.000000000003638
141,10,2,16,24,56,16,30,11,10,30,16,-27.000000000003638
142,10,2,16,24,56,16,30,11,13,20,10,26.349999999994907
143,10,2,16,24,56,16,30,11,13,20,13,47.59999999999491
144,10,2,16,24,56,16,30,11,13,20,16,-27.000000000003638
145,10,2,16,24,56,16,30,11,13,25,10,47.59999999999491
146,10,2,16,24,56,16,30,11,13,25,13,-27.000000000003638
147,10,2,16,24,56,16,30,11,13,25,16,-27.000000000003638
148,10,2,16,24,56,16,30,11,13,30,10,47.59999999999491
149,10,2,16,24,56,16,30,11,13,30,13,-27.000000000003638
150,10,2,16,24,56,16,30,11,13,30,16,-27.000000000003638
151,10,2,16,24,56,16,30,11,16,20,10,47.59999999999491
152,10,2,16,24,56,16,30,11,16,20,13,-27.000000000003638
153,10,2,16,24,56,16,30,11,16,20,16,-27.000000000003638
154,10,2,16,24,56,16,30,11,16,25,10,-27.000000000003638
155,10,2,16,24,56,16,30,11,16,25,13,-27.000000000003638
156,10,2,16,24,56,16,30,11,16,25,16,-27.000000000003638
157,10,2,16,24,56,16,30,11,16,30,10,-27.000000000003638
158,10,2,16,24,56,16,30,11,16,30,13,-27.000000000003638
159,10,2,16,24,56,16,30,11,16,30,16,-27.000000000003638
160,10,2,16,24,56,16,34,7,10,20,10,-39.90000000000509
161,10,2,16,24,56,16,34,7,10,20,13,-39.90000000000509
162,10,2,16,24,56,16,34,7,10,20,16,-39.90000000000509
163,10,2,16,24,56,16,34,7,10,25,10,-39.90000000000509
164,10,2,16,24,56,16,34,7,10,25,13,-39.90000000000509
165,10,2,16,24,56,16,34,7,10,25,16,-39.90000000000509
166,10,2,16,24,56,16,34,7,10,30,10,-39.90000000000509
167,10,2,16,24,56,16,34,7,10,30,13,-39.90000000000509
168,10,2,16,24,56,16,34,7,10,30,16,-39.90000000000509
169,10,2,16,24,56,16,34,7,13,20,10,-39.90000000000509
170,10,2,16,24,56,16,34,7,13,20,13,-39.90000000000509
171,10,2,16,24,56,16,34,7,13,20,16,-39.90000000000509
172,10,2,16,24,56,16,34,7,13,25,10,-39.90000000000509
173,10,2,16,24,56,16,34,7,13,25,13,-39.90000000000509
174,10,2,16,24,56,16,34,7,13,25,16,-39.90000000000509
175,10,2,16,24,56,16,34,7,13,30,10,-39.90000000000509
176,10,2,16,24,56,16,34,7,13,30,13,-39.90000000000509
177,10,2,16,24,56,16,34,7,13,30,16,-39.90000000000509
178,10,2,16,24,56,16,34,7,16,20,10,-39.90000000000509
179,10,2,16,24,56,16,34,7,16,20,13,-39.90000000000509
180,10,2,16,24,56,16,34,7,16,20,16,-39.90000000000509
181,10,2,16,24,56,16,34,7,16,25,10,-39.90000000000509
182,10,2,16,24,56,16,34,7,16,25,13,-39.90000000000509
183,10,2,16,24,56,16,34,7,16,25,16,-39.90000000000509
184,10,2,16,24,56,16,34,7,16,30,10,-39.90000000000509
185,10,2,16,24,56,16,34,7,16,30,13,-39.90000000000509
186,10,2,16,24,56,16,34,7,16,30,16,-39.90000000000509
187,10,2,16,24,56,16,34,9,10,20,10,13.449999999993452
188,10,2,16,24,56,16,34,9,10,20,13,34.69999999999345
189,10,2,16,24,56,16,34,9,10,20,16,34.69999999999345
190,10,2,16,24,56,16,34,9,10,25,10,13.449999999993452
191,10,2,16,24,56,16,34,9,10,25,13,34.69999999999345
192,10,2,16,24,56,16,34,9,10,25,16,-39.90000000000509
193,10,2,16,24,56,16,34,9,10,30,10,13.449999999993452
194,10,2,16,24,56,16,34,9,10,30,13,-39.90000000000509
195,10,2,16,24,56,16,34,9,10,30,16,-39.90000000000509
196,10,2,16,24,56,16,34,9,13,20,10,13.449999999993452
197,10,2,16,24,56,16,34,9,13,20,13,34.69999999999345
198,10,2,16,24,56,16,34,9,13,20,16,-39.90000000000509
199,10,2,16,24,56,16,34,9,13,25,10,34.69999999999345
200,10,2,16,24,56,16,34,9,13,25,13,-39.90000000000509
201,10,2,16,24,56,16,34,9,13,25,16,-39.90000000000509
202,10,2,16,24,56,16,34,9,13,30,10,34.69999999999345
203,10,2,16,24,56,16,34,9,13,30,13,-39.90000000000509
204,10,2,16,24,56,16,34,9,13,30,16,-39.90000000000509
205,10,2,16,24,56,16,34,9,16,20,10,34.69999999999345
206,10,2,16,24,56,16,34,9,16,20,13,-39.90000000000509
207,10,2,16,24,56,16,34,9,16,20,16,-39.90000000000509
208,10,2,16,24,56,16,34,9,16,25,10,-39.90000000000509
209,10,2,16,24,56,16,34,9,16,25,13,-39.90000000000509
210,10,2,16,24,56,16,34,9,16,25,16,-39.90000000000509
211,10,2,16,24,56,16,34,9,16,30,10,-39.90000000000509
212,10,2,16,24,56,16,34,9,16,30,13,-39.90000000000509
213,10,2,16,24,56,16,34,9,16,30,16,-39.90000000000509
214,10,2,16,24,56,16,34,11,10,20,10,13.449999999993452
215,10,2,16,24,56,16,34,11,10,20,13,34.69999999999345
216,10,2,16,24,56,16,34,11,10,20,16,34.69999999999345
217,10,2,16,24,56,16,34,11,10,25,10,13.449999999993452
218,10,2,16,24,56,16,34,11,10,25,13,34.69999999999345
219,10,2,16,24,56,16,34,11,10,25,16,-39.90000000000509
220,10,2,16,24,56,16,34,11,10,30,10,13.449999999993452
221,10,2,16,24,56,16,34,11,10,30,13,-39.90000000000509
222,10,2,16,24,56,16,34,11,10,30,16,-39.90000000000509
223,10,2,16,24,56,16,34,11,13,20,10,13.449999999993452
224,10,2,16,24,56,16,34,11,13,20,13,34.69999999999345
225,10,2,16,24,56,16,34,11,13,20,16,-39.90000000000509
226,10,2,16,24,56,16,34,11,13,25,10,34.69999999999345
227,10,2,16,24,56,16,34,11,13,25,13,-39.90000000000509
228,10,2,16,24,56,16,34,11,13,25,16,-39.90000000000509
229,10,2,16,24,56,16,34,11,13,30,10,34.69999999999345
230,10,2,16,24,56,16,34,11,13,30,13,-39.90000000000509
