stoploss,squee,lookback,ema_length,conv,length,lengthMA,lengthSignal,fast,slow,signal,net_profit,net_profit_july,net_profit_overall
7.9140703673839905,0.0,17.623574714917556,26.393147066332464,58.42273354436714,40.0,42.84267244602536,11.678857825379437,5.801288765348106,26.22419116222889,23.31788115126236,726.0952259587721,108.67185926523234,-20000.0
7.309444423506688,0.0,9.625604902839854,35.0,69.03064807881371,35.76769678267157,52.0,18.628707452989627,22.31044932027612,42.0,4.108813610749492,675.8866669178751,103.88111115297944,-10000.0
21.766354966563288,9.16253378623415,30.0,25.95712969637894,41.707307775935234,22.523073555760387,37.02319881440639,13.791744371267017,11.021047254496862,42.0,20.126698422818617,555.9056106018033,204.3845801337302,-15000.0
0.0,1.623629035452501,30.0,35.0,28.0,2.0,41.06868236295344,2.0,10.555904924866873,31.73020100833426,2.0,464.2499999999927,98.79999999998836,-10000.0
28.945701583200588,8.77329038290325,28.361237481170903,25.038419552137213,41.99902128032215,21.42804707382194,34.942113471534306,7.572056600345534,10.25075047377496,39.810100289634256,23.467709843777413,437.9601778351789,215.87149208399933,-10000.0
28.85338137175696,8.95778649130529,29.82555639454412,26.638474715856727,39.04578153702477,21.14125741488621,34.64195464842997,6.81797424594592,9.706490729908284,39.98217757718395,23.73463843617549,430.8391353083425,120.12633039769572,-15000.0
28.856652117248792,8.958685991946382,29.81773083055851,26.60294404793853,39.05659124507741,21.143113318846268,34.654623454790205,6.832407647335281,9.700278706607747,39.98724375466789,23.737465836937297,430.7802618895512,120.10343517927686,-15000.0
11.476027462244447,0.0521770655375752,15.366417745421256,18.714213972884743,63.99018192436923,32.26627404820341,32.217063046392234,21.12679921357028,9.13260264626708,14.892387376605589,5.078777717623305,426.1438352265104,100.0,-20000.0
0.0,10.0,30.0,35.0,28.0,2.0,42.35411355007671,7.414945450988957,12.854908457844086,26.583052170999924,29.9969427920892,424.1499999999869,126.49999999999272,-15000.0
0.0,10.0,30.0,35.0,28.0,2.0,40.37801912708241,7.196147476685878,27.0,19.30009226952893,30.0,424.1499999999869,126.49999999999272,-15000.0
0.0,1.6931730050839746,30.0,35.0,28.0,2.0,52.0,6.981875088399296,17.038891260046203,42.0,2.0,415.3999999999869,69.04999999998836,-15000.0
29.3088234166319,8.880901587204496,29.4592469702522,24.605083911508213,39.07312824366806,21.485446707533107,34.30746347871178,7.410092404578283,8.313422362629401,40.32349689990118,24.853133335102672,369.4088253338268,175.99705950019415,-10000.0
29.39284960295427,8.879876224013264,29.45281265203192,24.677519540504463,39.04673272458334,21.370951712722533,34.46974264537564,7.52505528869998,8.29599861244081,40.27202509887858,24.89918918062208,368.0644063527143,146.5500527793265,-10000.0
0.0,10.0,30.0,35.0,28.0,2.0,52.0,2.675056419897728,27.0,31.11872084463469,27.49051649460288,364.1499999999942,32.59999999998399,-10000.0
0.0,10.0,30.0,35.0,40.51590448510938,2.0,52.0,9.497217733549917,12.342492028908795,35.13803175317934,2.0,351.1499999999796,156.4499999999898,-10000.0
4.860121716261333,0.133050849361676,28.76757988237661,13.651770953617312,64.17604616606614,35.18145192337607,35.95308236229235,13.493821801224016,3.207966649754177,16.43840902949764,9.10165159372487,335.0487828374098,8.529756567484583,-20000.0
0.0,0.0,25.73931580067352,26.57724497965684,57.58774471037656,40.0,38.10451756148367,4.635642502992086,19.464204004714944,8.0,8.169534414575967,322.2000000000044,66.19999999999709,-10000.0
28.90274359494881,9.243634496862786,29.356240660741307,24.04644026419741,39.38291370722215,20.99077034897464,35.6642752925426,6.377028819406622,10.272956358582652,40.42841106945275,23.189795959630604,313.85335888590635,58.73628202526743,-10000.0
33.38655406872599,1.822451315413172,19.26902338499797,25.184947468783083,63.17461692201014,33.99889457305285,24.80768967647568,22.651400771651584,12.59877405613612,8.407785541120147,7.878070538102033,312.6344593127505,14.176891862545745,-20000.0
0.0,4.839971907280357,30.0,25.651592196063564,43.05538363592228,24.42037693090006,36.03079407082393,16.110436658651608,14.936272202286135,25.43334251254145,8.20920193990879,311.4500000000044,60.75,-20000.0
0.0,1.7908245552394908,20.0699630680444,35.0,28.0,2.0,39.31438419481469,6.140668573222321,27.0,30.458711966772626,19.293961825427832,305.40000000000146,87.04999999998836,-50000.0
8.810452965850633,0.0,21.04970673204509,26.81877124683564,46.1829770865607,40.0,30.29652188135904,2.0,27.0,8.0,10.755178707052456,301.35592330734653,76.33954703414929,-10000.0
0.0,0.0,19.597814070537765,35.0,50.89897971640565,34.80896506954607,37.1014069802342,14.618134974554843,27.0,8.0,10.66657846616841,286.5500000000102,52.69999999999709,-10000.0
0.0,10.0,30.0,35.0,40.30481835984405,2.0,40.23760303511632,7.854564571591624,24.080615748910464,29.398503519822395,25.73467160503024,279.7499999999709,63.49999999999272,-15000.0
0.0,10.0,30.0,35.0,28.0,2.0,14.0,28.0,2.0,8.0,2.0,271.20000000001164,40.05000000000291,-20000.0
0.0,10.0,30.0,35.0,38.73634776487304,2.0,52.0,6.942836061088214,2.0,23.21849584195688,26.324833937895065,266.2999999999738,106.99999999998543,-15000.0
0.0,10.0,24.07993500236393,35.0,28.0,2.0,37.2170497910176,18.677885926248383,20.5917008165861,38.81436155530133,28.10391098664819,258.74999999998545,83.79999999998836,-15000.0
