stoploss,squee,lookback,ema_length,conv,length,lengthMA,lengthSignal,fast,slow,signal,net_profit,final_net_profit,net_profit_july
32.93197023901397,5.758988442494894,8.808377061899595,30.70831284162167,35.278318884163646,39.02607142553598,48.293103851975,4.476641819051875,2.0,31.320462860667227,24.48125333178024,1361.1457261372234,1410.8776963762357,-10000.0
24.45966494251016,8.651990583013713,8.577469808638494,32.85588270927133,33.02247381930956,33.812397659652056,50.997555408010086,10.433720004960689,11.138769335244463,30.07405635862285,22.949838592994297,1354.2314436792583,1395.491108621769,-15000.0
30.788792038370023,7.311853736848487,9.931796384551848,29.772766264270587,44.857291434102414,34.395783510382714,48.91250709261581,10.276880712732687,11.18081023734908,25.244243947359813,26.21954555310885,1382.1328140047915,1382.1328140047915,-15000.0
25.60456859215482,10.0,8.488291274326983,32.665677026904355,32.506749727886906,32.68952776874858,50.74270788228121,10.621008327803503,9.74087665919926,30.66806944338253,23.59387996074424,1339.612178694122,1382.0167472862777,-10000.0
24.417850470216475,9.300594719576743,8.62572481785112,33.01738273461743,33.41776048317919,33.71503332240656,50.16103197406344,10.153795092484607,10.082905365742969,28.177649233613117,23.489147483441112,1337.5254203762524,1378.7432708464694,-15000.0
24.78108115325176,7.672276635729912,8.710677526182364,32.581511659326615,33.32744827601512,34.38945104491273,48.26106207761772,10.826058316966186,10.863167227484563,27.37572356975228,21.40335030179569,1374.1608061919103,1374.1608061919103,-10000.0
24.49310487815255,7.65073311463266,8.897677560793534,32.849389131770934,34.251625534662686,34.674387096308145,48.99815521958461,10.6673841722744,10.86336694608164,26.72077451690918,21.47827142241858,1330.863707310913,1372.1568121890632,-10000.0
24.75716303838712,9.564942559904942,8.64067735802926,32.730722789618504,33.95904655535667,32.20705311216556,49.37639313301518,10.08098731006024,7.660181492740843,29.61582839805355,23.42596608229672,1329.5773807351688,1371.1345437735545,-10000.0
25.221817961556592,9.66203565487024,8.704458822003012,33.04012361459889,33.53360179891619,33.285315495717114,49.52456769850807,10.355534172657334,10.328722164674828,28.0447510750362,22.46356244726812,1319.4036504604046,1361.4254684219595,-15000.0
24.65251251121317,9.102467763148375,8.275733117164004,32.682667382813015,33.64172445461429,33.98798321557769,49.888774766883394,9.935752989881124,10.009901352581227,28.50592207640767,22.10474354514777,1316.741711793551,1358.194224304763,-15000.0
25.20232995542112,9.260875973260331,8.80150756555132,32.46178019465867,32.85770259732971,33.85048562073922,50.35943032864278,10.444002311152586,9.902930671038908,28.576499914966,22.82812015140333,1312.1008828530685,1354.103212808488,-10000.0
24.38558626349681,8.839743614963291,8.358276811959751,32.752535522018164,34.411348315602154,34.7347237190074,48.982634010699535,10.806561408915464,10.329983055566473,27.708403983413195,21.68170823711231,1306.6080653997524,1347.7936516632471,-15000.0
25.08593389329736,9.84695079969055,8.202094498200704,32.38304455214084,33.0551173636082,33.134732146486364,49.9618689297322,10.23481031572122,10.02941121734064,29.43791227884359,23.3939074609306,1305.2502308289622,1347.1361647222584,-10000.0
24.42910923591959,8.892547816639546,8.39205689294684,32.76632107059894,34.393788837401615,34.73425389767774,48.99668300447322,10.838237587807525,10.356398463036385,27.71380222586249,21.67566457014724,1303.8661181370153,1345.0952273729345,-15000.0
31.895144765685423,7.218539848435654,9.955033226314924,29.5948936279798,44.68931547212403,34.887012285600896,49.010786978597295,10.229998087488127,11.076220684910936,25.061448160660632,26.19868272514569,1295.897616950122,1344.592761715805,-15000.0
24.360498157633664,8.641453895648027,8.28680124757337,32.57874105685662,33.41884484228944,33.78031444371681,49.042253819392656,10.648024073373984,10.0529879469608,27.23896076694957,22.266415907118333,1302.5281179112972,1343.688616068932,-15000.0
25.080659986016727,10.0,8.038064274160183,33.44429901580382,33.35261000195428,32.47330876082563,49.69013280902324,10.035727887015948,7.073065322931195,29.57097914660437,23.8768364735709,1299.1184208810082,1340.9990808670227,-15000.0
24.64296300389394,8.549707035028689,8.200666795513413,33.37444541291901,33.06789532594805,33.80610965649095,50.68058195737613,10.428903380673784,10.148007406251423,29.78744316575805,21.9721302166364,1295.0433307546043,1336.4862937584985,-15000.0
24.930800664628187,9.100568213535036,8.176216380285357,32.71598197011453,34.67514760538112,34.75682766728764,49.31959505496791,10.261571114055208,10.595655976889796,28.27966422809879,20.55176088760867,1286.628757463783,1328.3595581284098,-15000.0
24.55234102030544,7.308950556757801,8.770810481198707,32.51779753361637,33.44262170198647,34.10624365195169,48.83864794938541,10.472558293265775,11.449345053398732,27.023872890285304,20.54583422406285,1286.1954926597757,1327.5478336800809,-10000.0
32.27823409383057,5.845767957016163,8.532311867830314,31.04644883675264,36.20676916217356,40.0,48.50932443334353,4.584385130064183,2.0,31.74317588045841,23.756097801108016,1272.7841884639056,1321.8624225577369,-10000.0
24.507688473998385,9.994183429340085,8.83166658547752,32.403119718130405,32.623946270487664,33.774227984943074,50.293515120719285,10.54472437923383,11.133193082422084,29.976353897323357,23.452693899423032,1278.107937664132,1319.4156261381286,-10000.0
24.64948619900017,10.0,7.921882953956564,34.00052061562079,32.57435488553188,32.907926925644226,49.29018482038044,10.189583324227709,6.150726987005972,29.32248004676839,24.392364827843785,1274.5308280599966,1315.9803142589951,-15000.0
24.312921786779608,8.330610943029022,8.530696666000857,32.30969487989157,33.806451348081495,34.46889176539166,49.59761956800165,10.138365433593592,10.86845919063134,27.506163481803117,22.505512764049666,1273.2971620725475,1314.4100838593258,-10000.0
