,time,time,reason,bull or bear
51,26/02/24,1:50:00 PM,super_trend_ said no,
52,26/02/24,1:55:00 PM,super_trend_ said no,
53,26/02/24,2:00:00 PM,super_trend_ said no,
54,26/02/24,2:05:00 PM,super_trend_ said no,
55,26/02/24,2:10:00 PM,super_trend_ said no,
56,26/02/24,2:15:00 PM,super_trend_ said no,
57,26/02/24,2:20:00 PM,super_trend_ said no,
58,26/02/24,2:25:00 PM,super_trend_ said no,
59,26/02/24,2:30:00 PM,super_trend_ said no,
60,26/02/24,2:35:00 PM,super_trend_ said no,
61,26/02/24,2:40:00 PM,super_trend_ said no,
62,26/02/24,2:45:00 PM,super_trend_ said no,
63,26/02/24,2:50:00 PM,Squee said no,
64,26/02/24,2:55:00 PM,super_trend_ said no,
65,26/02/24,3:00:00 PM,nothing,
66,26/02/24,3:05:00 PM,nothing,
67,26/02/24,3:10:00 PM,nothing,
68,26/02/24,3:15:00 PM,nothing,
69,26/02/24,3:20:00 PM,nothing,
70,26/02/24,3:25:00 PM,nothing,
71,27/02/24,9:15:00 AM,super_trend_ said no,
72,27/02/24,9:20:00 AM,super_trend_ said no,
73,27/02/24,9:25:00 AM,super_trend_ said no,
74,27/02/24,9:30:00 AM,super_trend_ said no,
75,27/02/24,9:35:00 AM,super_trend_ said no,
76,27/02/24,9:40:00 AM,super_trend_ said no,
77,27/02/24,9:45:00 AM,super_trend_ said no,
78,27/02/24,9:50:00 AM,super_trend_ said no,
79,27/02/24,9:55:00 AM,placeing order,up
80,27/02/24,10:00:00 AM,placeing order,up
81,27/02/24,10:05:00 AM,placeing order,down
82,27/02/24,10:10:00 AM,placeing order,down
83,27/02/24,10:15:00 AM,placeing order,down
84,27/02/24,10:20:00 AM,placeing order,down
85,27/02/24,10:25:00 AM,placeing order,down
86,27/02/24,10:30:00 AM,placeing order,down
87,27/02/24,10:35:00 AM,placeing order,down
88,27/02/24,10:40:00 AM,super_trend_ said no,
89,27/02/24,10:45:00 AM,Squee said no,
90,27/02/24,10:50:00 AM,super_trend_ said no,
91,27/02/24,10:55:00 AM,super_trend_ said no,
92,27/02/24,11:00:00 AM,super_trend_ said no,
93,27/02/24,11:05:00 AM,super_trend_ said no,
94,27/02/24,11:10:00 AM,super_trend_ said no,
95,27/02/24,11:15:00 AM,super_trend_ said no,
96,27/02/24,11:20:00 AM,super_trend_ said no,
97,27/02/24,11:25:00 AM,super_trend_ said no,
98,27/02/24,11:30:00 AM,super_trend_ said no,
99,27/02/24,11:35:00 AM,super_trend_ said no,
100,27/02/24,11:40:00 AM,super_trend_ said no,
101,27/02/24,11:45:00 AM,super_trend_ said no,
102,27/02/24,11:50:00 AM,super_trend_ said no,
103,27/02/24,11:55:00 AM,super_trend_ said no,
104,27/02/24,12:00:00 PM,nothing,
105,27/02/24,12:05:00 PM,super_trend_ said no,
106,27/02/24,12:10:00 PM,super_trend_ said no,
107,27/02/24,12:15:00 PM,super_trend_ said no,
108,27/02/24,12:20:00 PM,super_trend_ said no,
109,27/02/24,12:25:00 PM,super_trend_ said no,
110,27/02/24,12:30:00 PM,super_trend_ said no,
111,27/02/24,12:35:00 PM,super_trend_ said no,
112,27/02/24,12:40:00 PM,Squee said no,
113,27/02/24,12:45:00 PM,super_trend_ said no,
114,27/02/24,12:50:00 PM,super_trend_ said no,
115,27/02/24,12:55:00 PM,super_trend_ said no,
116,27/02/24,1:00:00 PM,super_trend_ said no,
117,27/02/24,1:05:00 PM,super_trend_ said no,
118,27/02/24,1:10:00 PM,super_trend_ said no,
119,27/02/24,1:15:00 PM,super_trend_ said no,
120,27/02/24,1:20:00 PM,super_trend_ said no,
121,27/02/24,1:25:00 PM,super_trend_ said no,
122,27/02/24,1:30:00 PM,super_trend_ said no,
123,27/02/24,1:35:00 PM,super_trend_ said no,
124,27/02/24,1:40:00 PM,super_trend_ said no,
125,27/02/24,1:45:00 PM,super_trend_ said no,
126,27/02/24,1:50:00 PM,super_trend_ said no,
127,27/02/24,1:55:00 PM,Squee said no,
128,27/02/24,2:00:00 PM,super_trend_ said no,
129,27/02/24,2:05:00 PM,super_trend_ said no,
130,27/02/24,2:10:00 PM,super_trend_ said no,
131,27/02/24,2:15:00 PM,super_trend_ said no,
132,27/02/24,2:20:00 PM,super_trend_ said no,
133,27/02/24,2:25:00 PM,super_trend_ said no,
134,27/02/24,2:30:00 PM,super_trend_ said no,
135,27/02/24,2:35:00 PM,super_trend_ said no,
136,27/02/24,2:40:00 PM,Squee said no,
137,27/02/24,2:45:00 PM,super_trend_ said no,
138,27/02/24,2:50:00 PM,super_trend_ said no,
139,27/02/24,2:55:00 PM,super_trend_ said no,
140,27/02/24,3:00:00 PM,nothing,
141,27/02/24,3:05:00 PM,nothing,
142,27/02/24,3:10:00 PM,nothing,
143,27/02/24,3:15:00 PM,nothing,
144,27/02/24,3:20:00 PM,nothing,
145,27/02/24,3:25:00 PM,nothing,
146,28/02/24,9:15:00 AM,super_trend_ said no,
147,28/02/24,9:20:00 AM,super_trend_ said no,
148,28/02/24,9:25:00 AM,super_trend_ said no,
149,28/02/24,9:30:00 AM,super_trend_ said no,
150,28/02/24,9:35:00 AM,super_trend_ said no,
151,28/02/24,9:40:00 AM,super_trend_ said no,
152,28/02/24,9:45:00 AM,super_trend_ said no,
153,28/02/24,9:50:00 AM,super_trend_ said no,
154,28/02/24,9:55:00 AM,super_trend_ said no,
155,28/02/24,10:00:00 AM,super_trend_ said no,
156,28/02/24,10:05:00 AM,super_trend_ said no,
157,28/02/24,10:10:00 AM,super_trend_ said no,
158,28/02/24,10:15:00 AM,super_trend_ said no,
159,28/02/24,10:20:00 AM,super_trend_ said no,
160,28/02/24,10:25:00 AM,super_trend_ said no,
161,28/02/24,10:30:00 AM,super_trend_ said no,
162,28/02/24,10:35:00 AM,super_trend_ said no,
163,28/02/24,10:40:00 AM,super_trend_ said no,
164,28/02/24,10:45:00 AM,placeing order,down
165,28/02/24,10:50:00 AM,placeing order,down
166,28/02/24,10:55:00 AM,placeing order,down
167,28/02/24,11:00:00 AM,placeing order,down
168,28/02/24,11:05:00 AM,placeing order,down
169,28/02/24,11:10:00 AM,super_trend_ said no,
170,28/02/24,11:15:00 AM,super_trend_ said no,
171,28/02/24,11:20:00 AM,super_trend_ said no,
172,28/02/24,11:25:00 AM,super_trend_ said no,
173,28/02/24,11:30:00 AM,super_trend_ said no,
174,28/02/24,11:35:00 AM,super_trend_ said no,
175,28/02/24,11:40:00 AM,super_trend_ said no,
176,28/02/24,11:45:00 AM,super_trend_ said no,
177,28/02/24,11:50:00 AM,super_trend_ said no,
178,28/02/24,11:55:00 AM,super_trend_ said no,
179,28/02/24,12:00:00 PM,super_trend_ said no,
180,28/02/24,12:05:00 PM,super_trend_ said no,
181,28/02/24,12:10:00 PM,super_trend_ said no,
182,28/02/24,12:15:00 PM,super_trend_ said no,
183,28/02/24,12:20:00 PM,super_trend_ said no,
184,28/02/24,12:25:00 PM,super_trend_ said no,
185,28/02/24,12:30:00 PM,super_trend_ said no,
186,28/02/24,12:35:00 PM,super_trend_ said no,
187,28/02/24,12:40:00 PM,super_trend_ said no,
188,28/02/24,12:45:00 PM,super_trend_ said no,
189,28/02/24,12:50:00 PM,super_trend_ said no,
190,28/02/24,12:55:00 PM,super_trend_ said no,
191,28/02/24,1:00:00 PM,super_trend_ said no,
192,28/02/24,1:05:00 PM,super_trend_ said no,
193,28/02/24,1:10:00 PM,super_trend_ said no,
194,28/02/24,1:15:00 PM,super_trend_ said no,
195,28/02/24,1:20:00 PM,super_trend_ said no,
196,28/02/24,1:25:00 PM,super_trend_ said no,
197,28/02/24,1:30:00 PM,super_trend_ said no,
198,28/02/24,1:35:00 PM,super_trend_ said no,
199,28/02/24,1:40:00 PM,super_trend_ said no,
200,28/02/24,1:45:00 PM,super_trend_ said no,
201,28/02/24,1:50:00 PM,super_trend_ said no,
202,28/02/24,1:55:00 PM,super_trend_ said no,
203,28/02/24,2:00:00 PM,super_trend_ said no,
204,28/02/24,2:05:00 PM,Squee said no,
205,28/02/24,2:10:00 PM,super_trend_ said no,
206,28/02/24,2:15:00 PM,super_trend_ said no,
207,28/02/24,2:20:00 PM,super_trend_ said no,
208,28/02/24,2:25:00 PM,super_trend_ said no,
209,28/02/24,2:30:00 PM,Squee said no,
210,28/02/24,2:35:00 PM,super_trend_ said no,
211,28/02/24,2:40:00 PM,super_trend_ said no,
212,28/02/24,2:45:00 PM,super_trend_ said no,
213,28/02/24,2:50:00 PM,super_trend_ said no,
214,28/02/24,2:55:00 PM,super_trend_ said no,
215,28/02/24,3:00:00 PM,nothing,
216,28/02/24,3:05:00 PM,nothing,
217,28/02/24,3:10:00 PM,nothing,
218,28/02/24,3:15:00 PM,nothing,
219,28/02/24,3:20:00 PM,nothing,
220,28/02/24,3:25:00 PM,nothing,
221,29/02/24,9:15:00 AM,super_trend_ said no,
222,29/02/24,9:20:00 AM,super_trend_ said no,
223,29/02/24,9:25:00 AM,super_trend_ said no,
224,29/02/24,9:30:00 AM,super_trend_ said no,
225,29/02/24,9:35:00 AM,super_trend_ said no,
226,29/02/24,9:40:00 AM,super_trend_ said no,
227,29/02/24,9:45:00 AM,super_trend_ said no,
228,29/02/24,9:50:00 AM,super_trend_ said no,
229,29/02/24,9:55:00 AM,super_trend_ said no,
230,29/02/24,10:00:00 AM,Squee said no,
231,29/02/24,10:05:00 AM,Squee said no,
232,29/02/24,10:10:00 AM,super_trend_ said no,
233,29/02/24,10:15:00 AM,super_trend_ said no,
234,29/02/24,10:20:00 AM,super_trend_ said no,
235,29/02/24,10:25:00 AM,super_trend_ said no,
236,29/02/24,10:30:00 AM,super_trend_ said no,
237,29/02/24,10:35:00 AM,super_trend_ said no,
238,29/02/24,10:40:00 AM,super_trend_ said no,
239,29/02/24,10:45:00 AM,super_trend_ said no,
240,29/02/24,10:50:00 AM,super_trend_ said no,
241,29/02/24,10:55:00 AM,super_trend_ said no,
242,29/02/24,11:00:00 AM,super_trend_ said no,
243,29/02/24,11:05:00 AM,super_trend_ said no,
244,29/02/24,11:10:00 AM,super_trend_ said no,
245,29/02/24,11:15:00 AM,super_trend_ said no,
246,29/02/24,11:20:00 AM,Squee said no,
247,29/02/24,11:25:00 AM,super_trend_ said no,
248,29/02/24,11:30:00 AM,super_trend_ said no,
249,29/02/24,11:35:00 AM,super_trend_ said no,
250,29/02/24,11:40:00 AM,super_trend_ said no,
251,29/02/24,11:45:00 AM,super_trend_ said no,
252,29/02/24,11:50:00 AM,super_trend_ said no,
253,29/02/24,11:55:00 AM,super_trend_ said no,
254,29/02/24,12:00:00 PM,super_trend_ said no,
255,29/02/24,12:05:00 PM,super_trend_ said no,
256,29/02/24,12:10:00 PM,super_trend_ said no,
257,29/02/24,12:15:00 PM,super_trend_ said no,
258,29/02/24,12:20:00 PM,super_trend_ said no,
259,29/02/24,12:25:00 PM,super_trend_ said no,
260,29/02/24,12:30:00 PM,Squee said no,
261,29/02/24,12:35:00 PM,super_trend_ said no,
262,29/02/24,12:40:00 PM,Squee said no,
263,29/02/24,12:45:00 PM,super_trend_ said no,
264,29/02/24,12:50:00 PM,super_trend_ said no,
265,29/02/24,12:55:00 PM,super_trend_ said no,
266,29/02/24,1:00:00 PM,super_trend_ said no,
267,29/02/24,1:05:00 PM,super_trend_ said no,
268,29/02/24,1:10:00 PM,super_trend_ said no,
269,29/02/24,1:15:00 PM,super_trend_ said no,
270,29/02/24,1:20:00 PM,super_trend_ said no,
271,29/02/24,1:25:00 PM,super_trend_ said no,
272,29/02/24,1:30:00 PM,super_trend_ said no,
273,29/02/24,1:35:00 PM,super_trend_ said no,
274,29/02/24,1:40:00 PM,super_trend_ said no,
275,29/02/24,1:45:00 PM,super_trend_ said no,
276,29/02/24,1:50:00 PM,super_trend_ said no,
277,29/02/24,1:55:00 PM,super_trend_ said no,
278,29/02/24,2:00:00 PM,super_trend_ said no,
279,29/02/24,2:05:00 PM,super_trend_ said no,
280,29/02/24,2:10:00 PM,super_trend_ said no,
281,29/02/24,2:15:00 PM,super_trend_ said no,
282,29/02/24,2:20:00 PM,Squee said no,
283,29/02/24,2:25:00 PM,super_trend_ said no,
284,29/02/24,2:30:00 PM,super_trend_ said no,
285,29/02/24,2:35:00 PM,super_trend_ said no,
286,29/02/24,2:40:00 PM,super_trend_ said no,
287,29/02/24,2:45:00 PM,Squee said no,
288,29/02/24,2:50:00 PM,super_trend_ said no,
289,29/02/24,2:55:00 PM,Squee said no,
290,29/02/24,3:00:00 PM,nothing,
291,29/02/24,3:05:00 PM,nothing,
292,29/02/24,3:10:00 PM,nothing,
293,29/02/24,3:15:00 PM,nothing,
294,29/02/24,3:20:00 PM,nothing,
295,29/02/24,3:25:00 PM,nothing,
296,01/03/24,9:15:00 AM,super_trend_ said no,
297,01/03/24,9:20:00 AM,super_trend_ said no,
298,01/03/24,9:25:00 AM,super_trend_ said no,
299,01/03/24,9:30:00 AM,super_trend_ said no,
300,01/03/24,9:35:00 AM,super_trend_ said no,
301,01/03/24,9:40:00 AM,super_trend_ said no,
302,01/03/24,9:45:00 AM,super_trend_ said no,
303,01/03/24,9:50:00 AM,super_trend_ said no,
304,01/03/24,9:55:00 AM,super_trend_ said no,
305,01/03/24,10:00:00 AM,super_trend_ said no,
306,01/03/24,10:05:00 AM,super_trend_ said no,
307,01/03/24,10:10:00 AM,super_trend_ said no,
308,01/03/24,10:15:00 AM,super_trend_ said no,
309,01/03/24,10:20:00 AM,super_trend_ said no,
310,01/03/24,10:25:00 AM,super_trend_ said no,
311,01/03/24,10:30:00 AM,super_trend_ said no,
312,01/03/24,10:35:00 AM,super_trend_ said no,
313,01/03/24,10:40:00 AM,super_trend_ said no,
314,01/03/24,10:45:00 AM,super_trend_ said no,
