,entry_time,entry_price,exit_time,exit_price,profit,100
0,16/01/24 9:40,22056.4,16/01/24 9:45,22084.65,-28.25,85.875
1,20/01/24 10:10,21615.5,20/01/24 10:15,21647.05,-31.55,72.32821875
2,23/01/24 10:35,21591.25,23/01/24 10:55,21567.8,23.45,80.8087024
3,24/01/24 9:55,21316.6,24/01/24 10:40,21374.15,57.55,104.0614065
4,25/01/24 9:55,21357.9,25/01/24 10:30,21328.8,29.1,119.2023412
5,30/01/24 9:55,21713.7,30/01/24 10:00,21739.65,-25.95,103.7358374
6,31/01/24 10:15,21609.75,31/01/24 10:25,21591.3,-18.45,94.1662064
7,02/02/24 12:35,21870.4,02/02/24 12:40,21938.65,-68.25,62.03198846
8,06/02/24 9:50,21865.4,06/02/24 10:15,21847.05,-18.35,56.34055352
9,09/02/24 11:50,21731.8,09/02/24 12:50,21745.95,14.15,60.32664768
10,12/02/24 9:50,21729.95,12/02/24 10:30,21675.45,54.5,76.76565918
11,12/02/24 14:10,21668.7,12/02/24 14:20,21651.35,-17.35,70.10623824
12,13/02/24 10:00,21679.05,13/02/24 11:20,21724.9,45.85,86.17809336
13,19/02/24 10:15,22065.15,19/02/24 10:35,22081.6,16.45,93.26624154
14,19/02/24 15:05,22124.1,19/02/24 15:15,22129.85,-5.75,90.5848371
15,20/02/24 10:30,22132.2,20/02/24 10:35,22108.3,-23.9,79.75994906
16,21/02/24 10:40,22191.95,21/02/24 10:55,22192.15,-0.2,79.68018911
17,26/02/24 13:05,22127.9,26/02/24 13:30,22132.85,4.95,81.65227379
18,28/02/24 10:50,22175.4,28/02/24 11:10,22071,104.4,124.2747607
19,28/02/24 14:10,22049.6,28/02/24 14:15,22026.6,-23,109.9831632
20,29/02/24 10:10,21929.15,29/02/24 10:40,21914.25,14.9,118.1769089
21,13/03/24 9:35,22323.55,13/03/24 10:10,22306.45,17.1,128.2810346
22,20/03/24 11:45,21845.75,20/03/24 12:05,21834.55,-11.2,121.0972967
23,27/03/24 9:25,22071.95,27/03/24 10:30,22135.75,63.8,159.7273343
24,28/03/24 9:25,22219.9,28/03/24 10:25,22294.5,74.6,219.30563
25,28/03/24 15:05,22352.75,28/03/24 15:20,22309.35,43.4,266.8949517
26,15/04/24 10:55,22408.85,15/04/24 11:05,22394.45,-14.4,247.6785152
27,18/04/24 10:50,22175.65,18/04/24 11:00,22194.75,-19.1,224.025217
28,25/04/24 10:15,22458.4,25/04/24 10:25,22441.25,-17.15,204.8150546
29,30/04/24 14:55,22689.8,02/05/24 9:15,22596.45,93.35,300.4124814
30,02/05/24 10:25,22677.4,02/05/24 10:50,22665.05,-12.35,281.8620106
31,08/05/24 13:50,22271,08/05/24 13:55,22303.25,-32.25,236.4117614
32,10/05/24 9:45,22071.45,10/05/24 10:20,22092.6,21.15,261.4123052
33,13/05/24 13:55,22083.6,13/05/24 14:20,22091.4,7.8,271.6073851
34,14/05/24 10:30,22139.95,14/05/24 10:50,22132.95,-7,262.1011266
35,15/05/24 10:15,22168.9,15/05/24 10:45,22177.35,-8.45,251.027354
36,16/05/24 12:10,22239.3,16/05/24 12:25,22252.2,12.9,267.2186184
37,16/05/24 14:35,22186.2,16/05/24 15:25,22400.85,214.65,554.0110005
